player_id,player_name,team_id,sport_type,position,jersey_number,birth_date,height_cm,weight_kg,nationality,join_date,status
P0001,球员1,T001,篮球,小前锋,65,1990-03-17,189,60,中国,2016-11-01,现役
P0002,球员2,T001,篮球,大前锋,20,2005-06-25,192,98,中国,2017-09-01,停赛
P0003,球员3,T001,篮球,得分后卫,3,1985-02-12,198,80,中国,2019-04-01,现役
P0004,球员4,T001,篮球,中锋,11,1992-12-16,196,120,中国,2016-09-01,现役
P0005,球员5,T001,篮球,控球后卫,22,1989-05-17,202,90,中国,2021-04-01,停赛
P0006,球员6,T001,篮球,得分后卫,86,1991-11-12,205,79,中国,2022-09-01,伤病
P0007,球员7,T001,篮球,中锋,44,1988-01-19,175,74,中国,2023-04-01,停赛
P0008,球员8,T001,篮球,中锋,30,1992-02-02,160,64,中国,2020-02-01,停赛
P0009,球员9,T001,篮球,得分后卫,28,1992-09-05,177,102,中国,2022-04-01,伤病
P0010,球员10,T001,篮球,中锋,85,1998-07-12,172,66,中国,2021-07-01,伤病
P0011,球员11,T001,篮球,中锋,8,1986-07-24,203,101,中国,2020-02-01,现役
P0012,球员12,T001,篮球,得分后卫,18,1991-07-06,172,94,中国,2019-08-01,现役
P0013,球员13,T001,篮球,控球后卫,13,1987-01-21,188,111,中国,2023-01-01,现役
P0014,球员14,T002,篮球,得分后卫,28,1990-07-02,186,91,中国,2017-07-01,现役
P0015,球员15,T002,篮球,得分后卫,37,1997-07-23,176,119,中国,2023-11-01,伤病
P0016,球员16,T002,篮球,大前锋,8,1989-10-24,172,78,中国,2023-01-01,现役
P0017,球员17,T002,篮球,得分后卫,65,1986-09-06,163,97,中国,2015-09-01,现役
P0018,球员18,T002,篮球,中锋,87,1990-04-13,164,98,中国,2016-10-01,现役
P0019,球员19,T002,篮球,控球后卫,11,2003-07-22,198,62,中国,2023-06-01,现役
P0020,球员20,T002,篮球,小前锋,31,1991-05-13,202,105,中国,2017-11-01,现役
P0021,球员21,T002,篮球,中锋,2,1999-08-20,180,119,中国,2016-02-01,停赛
P0022,球员22,T002,篮球,大前锋,45,1991-02-08,192,76,中国,2020-05-01,现役
P0023,球员23,T002,篮球,小前锋,79,1999-11-17,194,105,中国,2015-11-01,停赛
